page,edit_id,timestamp,summary
page,edit_id,timestamp,summary
[[en:Chernyakhovsk]],827802939,2018-02-26T20:43:37Z,"Undid revision 827375204 by [[Special:Contributions/HerkusMonte|HerkusMonte]] ([[User talk:HerkusMonte|talk]])generic book cite copy/pasted into dozens of Polish towns, no page # provided, no way to verify, invalid"
[[en:Baltiysk]],827802849,2018-02-26T20:42:54Z,"Undid revision 827375141 by [[Special:Contributions/HerkusMonte|HerkusMonte]] ([[User talk:HerkusMonte|talk]]) generic book cite copy/pasted into dozens of Polish towns, no page # provided, no way to verify, invalid"
[[en:Żelazna Góra]],827802725,2018-02-26T20:42:07Z,"article is about one village, not the history of territorial changes in Poland"
"[[en:Maciejewo, Warmian-Masurian Voivodeship]]",827802625,2018-02-26T20:41:28Z,Undid revision 640831171 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
"[[en:Kalinówek, Warmian-Masurian Voivodeship]]",827802576,2018-02-26T20:41:07Z,Undid revision 640830910 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
"[[en:Różaniec, Gmina Braniewo]]",827802496,2018-02-26T20:40:33Z,Undid revision 640831501 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
[[en:Talk:Jared Taylor]],827765604,2018-02-26T16:26:43Z,/* White nationalist removed from lede */
"[[en:Szreniawa, Lubusz Voivodeship]]",827735303,2018-02-26T12:32:04Z,"unexplained revert, still an unverifiable source, dubious edit"
"[[en:Marcinkowo, Braniewo County]]",827678549,2018-02-26T02:42:17Z,Undid revision 640831197 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
[[en:Avelino Asprilla]],827678503,2018-02-26T02:41:53Z,brevity
[[en:Wikipedia:Articles for deletion/Thomas J. Lynch Jr.]],827678310,2018-02-26T02:40:16Z,/* Thomas J. Lynch Jr. */
[[en:Wikipedia:Articles for deletion/Dennis Levinson]],827677939,2018-02-26T02:37:09Z,/* Dennis Levinson */
[[en:Wikipedia:Reliable sources/Noticeboard]],827677484,2018-02-26T02:33:51Z,/* Legacy.com */
[[en:Pat Buchanan]],827675954,2018-02-26T02:21:46Z,/* VDARE */ unnecessary quotation marks
[[en:Pat Buchanan]],827675903,2018-02-26T02:21:24Z,/* VDARE */ wikilinks
[[en:Pat Buchanan]],827675840,2018-02-26T02:21:00Z,/* VDARE */ reword
[[en:Wisełka]],827675296,2018-02-26T02:17:34Z,"article is about one village, not the history of territorial changes in Poland"
[[en:Dziadowo]],827675239,2018-02-26T02:17:07Z,"article is about one village, not the history of territorial changes in Poland"
[[en:Baszewice]],827675172,2018-02-26T02:16:38Z,"article is about one village, not the history of territorial changes in Poland"
"[[en:Bobrowiec, Warmian-Masurian Voivodeship]]",827675117,2018-02-26T02:16:11Z,Undid revision 640830405 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
"[[en:Elżbiecin, Warmian-Masurian Voivodeship]]",827675067,2018-02-26T02:15:46Z,Undid revision 640830529 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
"[[en:Gronowo, Braniewo County]]",827674979,2018-02-26T02:15:12Z,Undid revision 640830729 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
"[[en:Szreniawa, Lubusz Voivodeship]]",827674926,2018-02-26T02:14:50Z,"revery, unverifiable source"
[[en:Pieniężno]],827674800,2018-02-26T02:13:51Z,copyedits
"[[en:Kalina, Warmian-Masurian Voivodeship]]",827674644,2018-02-26T02:12:26Z,Undid revision 640830876 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
[[en:Cielętnik]],827674601,2018-02-26T02:12:03Z,Undid revision 640830472 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
[[en:Juan Ruiz Anchía]],827673342,2018-02-26T02:02:20Z,removed speculation
[[en:Talk:National Policy Institute]],827671951,2018-02-26T01:51:47Z,/* Lobbying group */
[[en:Talk:Jared Taylor]],827670895,2018-02-26T01:43:14Z,/* White nationalist removed from lede */
[[en:The Dakotas (TV series)]],827631384,2018-02-25T21:07:33Z,/* Cancellation */ removed confusing sentence
[[en:The Dakotas (TV series)]],827631134,2018-02-25T21:06:18Z,removed speculation
[[en:Talk:Jared Taylor]],827630954,2018-02-25T21:05:28Z,/* White nationalist removed from lede */
[[en:Mallrats]],827630691,2018-02-25T21:04:07Z,Undid revision 827608987 by [[Special:Contributions/76.102.239.137|76.102.239.137]] ([[User talk:76.102.239.137|talk]]) unsourced
[[en:Slap Shot (film)]],827435718,2018-02-24T18:45:07Z,/* Legacy */ disambig
[[en:Billy Mitchell (video game player)]],827339270,2018-02-24T04:10:34Z,/* After King of Kong */ a thread on a web forum is not a reliable source
[[en:Billy Mitchell (video game player)]],827339181,2018-02-24T04:09:36Z,/* After King of Kong */ a webforum is not a [[WP:RS]]
[[en:Billy Mitchell (video game player)]],827339035,2018-02-24T04:07:56Z,/* After King of Kong */ per [[WP:CLAIM]]
[[en:Billy Mitchell (video game player)]],827338939,2018-02-24T04:06:54Z,unsourced
[[en:Billy Mitchell (video game player)]],827338881,2018-02-24T04:06:10Z,removed all the unsourced nonsense
