page,edit_id,timestamp,summary
[[en:Lion-man]],806734271,2017-10-23T20:49:25Z,"/* Manufacture */ unsourced, not really needed"
[[en:Lion-man]],806734079,2017-10-23T20:48:09Z,"/* Interpretation */ unsourced, OR?"
[[en:Wikipedia:Biographies of living persons/Noticeboard]],806727750,2017-10-23T20:01:15Z,/* Shia LaBeouf */ new section
[[en:Wikipedia:Administrators' noticeboard/Incidents]],806378169,2017-10-21T16:58:06Z,/* Bullying block by {{u|John}} */
[[en:User talk:Hillbillyholiday]],805471018,2017-10-15T16:38:58Z,/* Singing your praises */ [[Billy the Kid Versus Dracula|fangs for the memories]]
[[en:User talk:Hillbillyholiday]],801758308,2017-09-21T17:29:09Z,"/* September 2017 */ er, thanks, I think..."
[[en:User talk:Hillbillyholiday]],801754061,2017-09-21T16:55:10Z,/* September 2017 */ [[wikt:GFY|socks away!]]
[[en:Manny Pacquiao]],801749799,2017-09-21T16:22:14Z,Undid revision 801748802 by [[Special:Contributions/TJH2018|Drive-by ignoramus]] ([[User talk:TJH2018|talk]])
[[en:User talk:Hillbillyholiday]],801748765,2017-09-21T16:13:56Z,Reverted edits by [[Special:Contribs/TJH2018|TJH2018]] ([[User talk:TJH2018|talk]]) to last version by Hillbillyholiday
[[en:Manny Pacquiao]],801748745,2017-09-21T16:13:44Z,Reverted edits by [[Special:Contribs/TJH2018|TJH2018]] ([[User talk:TJH2018|talk]]) to last version by Hillbillyholiday
[[en:User talk:Hillbillyholiday]],801748417,2017-09-21T16:11:06Z,Undid revision 801719431 by [[Special:Contributions/Tornado chaser|Ambulance chaser]] ([[User talk:Tornado chaser|talk]])
[[en:Manny Pacquiao]],801748225,2017-09-21T16:09:31Z,[[WP:BLPSOURCES]] etc.. The consensus at BLPN and article talkpage is not to include section as is.  Start an RfC or something.
[[en:Manny Pacquiao]],801717546,2017-09-21T11:52:38Z,Reverted edits by [[Special:Contribs/Spacecowboy420|Spacecowboy420]] ([[User talk:Spacecowboy420|talk]]) to last version by Collect
[[en:Drew Barrymore]],801555648,2017-09-20T11:40:49Z,far too much detail
[[en:Drew Barrymore]],801555496,2017-09-20T11:39:06Z,"/* Personal life */ BLP sources for breast / overquoting / ""stylistically conservative"" nonsense / shift"
[[en:Drew Barrymore]],801554842,2017-09-20T11:32:25Z,/* Childhood */ TMI
[[en:Wet and messy fetishism]],800860454,2017-09-16T03:31:26Z,/* In media */
[[en:Hair fetishism]],800824707,2017-09-15T22:31:53Z,/* Notable hair fetishists */ The one notable hair fetishist is a murderer?
[[en:User talk:PaleCloudedWhite]],800818219,2017-09-15T21:28:08Z,/* Congrats */ ar
[[en:User talk:PaleCloudedWhite]],800810447,2017-09-15T20:25:04Z,"/* Congrats */ [[Deprogramming#Kidnapping|The only way out, I'm afraid. I'll be round with the ropes...]]"
[[en:Foot fetishism]],800793509,2017-09-15T18:15:52Z,"/* Notable foot fetishists */ A very common fetish, this cherrypicked list could go on ad infinitum / much of it is [[WP:BLPSOURCES|poorly sourced, possibly contentious and about living people]]]"
[[en:Talk:Manny Pacquiao]],800793036,2017-09-15T18:12:05Z,/* BLP issues */ comment
[[en:User talk:Martinevans123]],800791942,2017-09-15T18:03:48Z,/* Peter Hall */ cite for [[wikt:butthurt|sore eyes]]
[[en:User talk:Hillbillyholiday]],799603093,2017-09-08T18:34:06Z,/* Blocked */  ‎a [[user:MPS1992|nudnik]] appears...
[[en:User talk:Hillbillyholiday]],799600645,2017-09-08T18:15:23Z,/* Blocked */ [[Holiday Road|perfect pop]]
[[en:User talk:Hillbillyholiday]],799600533,2017-09-08T18:14:37Z,/* Blocked */ [[Holiday Road|perfect pop]]
[[en:User talk:Hillbillyholiday]],799569563,2017-09-08T14:32:14Z,/* Notice of noticeboard discussion */ quantum bogodynamics in action!
[[en:Wikipedia:Administrators' noticeboard]],799567021,2017-09-08T14:12:04Z,/* Hillbillyholiday Editing Restriction Violation (again) */ +
[[en:Wikipedia:Administrators' noticeboard]],799566434,2017-09-08T14:07:40Z,/* Hillbillyholiday Editing Restriction Violation (again) */ reply
[[en:Manny Pacquiao]],799559733,2017-09-08T13:14:06Z,"Remove per [[WP:BLP]].  Slow editwarring to reinsert a questionable section, derived from primary sources, with serious allegations poorly sourced, while the issue is already at BLPN. Leave out until consensus reached over wording."
[[en:User talk:Spacecowboy420]],799559299,2017-09-08T13:10:47Z,/* Notice */ reply
[[en:User talk:Spacecowboy420]],799554269,2017-09-08T12:23:51Z,/* Notice */ new section
[[en:Manny Pacquiao]],799551908,2017-09-08T12:01:58Z,Reverted edits by [[Special:Contribs/Spacecowboy420|Spacecowboy420]] ([[User talk:Spacecowboy420|talk]]) to last version by Mac Dreamstate
[[en:Rachel Uchitel]],799497666,2017-09-08T02:22:41Z,trim
[[en:Rachel Uchitel]],799497351,2017-09-08T02:20:07Z,/* Personal life */ Speculation and tittle-tattle
[[en:Suzanne Collins (actress)]],799496200,2017-09-08T02:10:53Z,"Sorry, Kev..."
[[en:User talk:Hillbillyholiday]],799426997,2017-09-07T17:29:33Z,/* Notice of noticeboard discussion */ re GoldenRing
[[en:Theodora Richards]],799425399,2017-09-07T17:17:01Z,[[WP:UNDUE|undue]] / [[WP:BLPSOURCES]]
[[en:Kiowa Gordon]],799424085,2017-09-07T17:06:45Z,/* Personal life */ unimportant
[[en:Kiowa Gordon]],799424014,2017-09-07T17:06:08Z,/* Legal issues */ [[WP:UNDUE|undue]] / [[WP:BLPSOURCES]]
[[en:Quentin Tarantino]],799422182,2017-09-07T16:52:20Z,/* As producer */ one blog and [[The Express]] =/= global attention
[[en:User talk:Hillbillyholiday]],799414511,2017-09-07T15:56:10Z,"/* Notice of noticeboard discussion */ [[The Payback|I can do wheelin', I can do dealin' / But I don't do no damn squealin'...]]"
